,ticker,date,close,closeNormalized
100688,DYDX,2022-05-16,1.91551,-0.14371292131086252
100707,LTC,2022-05-16,68.3111,-0.41437427745723043
100712,EGLD,2022-05-16,94.2673,3.77329391774473
100714,LINK,2022-05-16,7.57015,-0.6307388451300759
100696,OKB,2022-05-16,12.47,-1.8302024210274
100674,LEO,2022-05-16,4.9354,0.24637126503185788
100676,XAU,2022-05-16,1813.5,-0.81937240440252
100681,ETH,2022-05-16,2047.71,-0.14011838829979942
100683,GT,2022-05-16,5.42803,-0.05996709480629928
100685,BTC,2022-05-16,30135.2,-0.4688689158858062
100691,XRP,2022-05-16,0.428043,-0.4140032925995638
100749,FLOW,2022-05-16,2.88624,3.4711463123873916
100771,RAY,2022-05-16,1.24538,0.2127728222588933
100743,XMR,2022-05-16,166.184,0.844250798870794
100736,APE,2022-05-16,8.32416,2.9760393797232636
100692,TRX,2022-05-16,0.069929,-0.6743906271449507
100772,1INCH,2022-05-16,0.92979,2.9825346620469624
100739,DOGE,2022-05-16,0.0882851,-0.2231643816399726
100757,YFI,2022-05-16,9907.03,1.7298287524144698
100755,BNB,2022-05-16,300.309,-0.4568213098215618
100752,SUN,2022-05-16,0.00867783,-0.12891280667660243
100761,FET,2022-05-16,0.183062,-0.7033617993068193
100763,SOL,2022-05-16,54.8686,-0.31050381424664336
100822,LTC,2022-05-17,73.005,-0.09239060865365793
100808,GT,2022-05-17,5.73633,0.09886533079699036
100801,ETH,2022-05-17,2084.22,-0.09187121435153124
100802,APE,2022-05-17,8.82691,3.2453058853973302
100804,FLOW,2022-05-17,2.98641,3.655376704828807
100812,OKB,2022-05-17,12.8513,-1.8039121424952247
100821,1INCH,2022-05-17,0.948765,3.100570564980997
100794,DOGE,2022-05-17,0.0902825,-0.19177867219842212
100778,RAY,2022-05-17,1.27234,0.23747449521380493
100789,SOL,2022-05-17,56.4266,-0.2862860333783147
100859,SUN,2022-05-17,0.00892838,-0.08684669972657953
100849,XMR,2022-05-17,173.075,1.278359137369056
100851,LINK,2022-05-17,7.67002,-0.6082380251326107
100840,BTC,2022-05-17,30512.1,-0.45049931528387804
100837,EGLD,2022-05-17,100.519,4.2325105082450944
100833,FET,2022-05-17,0.189054,-0.695341279079763
100827,LEO,2022-05-17,4.9732,0.2792512550096385
100836,XAU,2022-05-17,1818.199951171875,-0.8033131349072667
100857,XRP,2022-05-17,0.437331,-0.3757394497909679
100855,DYDX,2022-05-17,2.00259,-0.02157634688688547
100854,YFI,2022-05-17,9984.98,1.7777424952623606
100853,BNB,2022-05-17,305.003,-0.42456831977371473
100863,TRX,2022-05-17,0.0726954,-0.6058600015779727
100921,EGLD,2022-05-18,93.6281,3.72634168960713
100903,SOL,2022-05-18,50.8238,-0.3733767796229051
100904,DOGE,2022-05-18,0.0851891,-0.2718127026728356
100909,LINK,2022-05-18,6.98091,-0.7634952602227605
100912,APE,2022-05-18,7.95964,2.780807103943432
100877,XMR,2022-05-18,158.094,0.33460975135215437
100884,XAU,2022-05-18,1815.9000244140625,-0.8111717577466016
100888,FET,2022-05-18,0.169779,-0.7211416007380592
100892,FLOW,2022-05-18,2.89623,3.489519693843813
100920,RAY,2022-05-18,1.18346,0.156039603068681
100960,BTC,2022-05-18,29152.1,-0.5167838916134679
100952,XRP,2022-05-18,0.413262,-0.47489668843869537
100959,LTC,2022-05-18,67.5121,-0.46918263540564265
100942,ETH,2022-05-18,1958.9,-0.2574788790789208
100935,TRX,2022-05-18,0.071477,-0.6360428074595538
100933,LEO,2022-05-18,4.9196,0.23262777715754807
100930,1INCH,2022-05-18,0.907818,2.8458556180803427
100941,YFI,2022-05-18,9334.35,1.3778179473582741
100925,BNB,2022-05-18,293.618,-0.502795906415117
100945,OKB,2022-05-18,12.2541,-1.8450885241878943
100946,GT,2022-05-18,5.57934,0.01798598439588636
100967,DYDX,2022-05-18,2.12723,0.15324109266530186
100929,SUN,2022-05-18,0.00858882,-0.14385714584890927
100985,LINK,2022-05-19,7.0929,-0.7382637909976063
100998,EGLD,2022-05-19,91.7382,3.587519699686527
101001,SOL,2022-05-19,51.8081,-0.3580766758304173
101003,DOGE,2022-05-19,0.0860139,-0.258852387689662
101009,TRX,2022-05-19,0.0733566,-0.5894804289836674
101012,FLOW,2022-05-19,2.8874,3.473279758082031
101017,XAU,2022-05-19,1841.199951171875,-0.7247244039006272
100972,SUN,2022-05-19,0.00891108,-0.08975128424158803
100977,BNB,2022-05-19,305.194,-0.4232559377756023
100978,DYDX,2022-05-19,1.96403,-0.07565979095887182
100986,XRP,2022-05-19,0.417682,-0.456687581503511
101049,APE,2022-05-19,7.96143,2.7817658051769603
101050,RAY,2022-05-19,1.15185,0.1270774412695433
101024,XMR,2022-05-19,163.237,0.6586003455905182
101023,1INCH,2022-05-19,0.916083,2.897268884891926
101043,OKB,2022-05-19,12.3908,-1.8356631869853024
101032,LEO,2022-05-19,4.9661,0.27307538387624564
101041,FET,2022-05-19,0.180719,-0.7064979940484737
101066,BTC,2022-05-19,30245.9,-0.46347354632721377
101061,LTC,2022-05-19,71.4285,-0.20053250640794132
101060,YFI,2022-05-19,9414.38,1.4270102095791424
101059,GT,2022-05-19,5.57162,0.014008733907214974
101067,ETH,2022-05-19,2011.9,-0.18744052741476772
101080,DYDX,2022-05-20,1.93068,-0.1224357987337872
101105,LINK,2022-05-20,6.88173,-0.785840622467164
101101,LEO,2022-05-20,5.0046,0.30656426255731783
101103,1INCH,2022-05-20,0.914901,2.88991613457477
101104,XMR,2022-05-20,175.289,1.4178332139087675
101108,OKB,2022-05-20,12.0216,-1.8611191818294646
101116,XRP,2022-05-20,0.410107,-0.48789436544785997
101118,APE,2022-05-20,7.75678,2.672157868058716
101091,FET,2022-05-20,0.1664,-0.7256645209395318
101073,FLOW,2022-05-20,2.75669,3.2328808901972605
101082,YFI,2022-05-20,9173.5,1.2789478314239142
101098,ETH,2022-05-20,1957.45,-0.25939502266218545
101150,SUN,2022-05-20,0.00866958,-0.13029794091063823
101090,RAY,2022-05-20,1.07071,0.052734201523195974
101141,TRX,2022-05-20,0.0709747,-0.6484860308626383
101138,LTC,2022-05-20,68.6176,-0.3933495444019257
101126,DOGE,2022-05-20,0.0837993,-0.29365102197886706
101136,SOL,2022-05-20,49.6603,-0.3914623945396576
101155,BTC,2022-05-20,29148.6,-0.5169544769201985
101163,GT,2022-05-20,5.61186,0.03473989448547105
101161,BNB,2022-05-20,302.237,-0.44357380986155975
101144,XAU,2022-05-20,1841.800048828125,-0.7226739294099861
101123,EGLD,2022-05-20,88.8233,3.3734066680872
101266,XMR,2022-05-21,176.87,1.5174305558280479
101196,SUN,2022-05-21,0.00879855,-0.10864451519383729
101199,EGLD,2022-05-21,90.2925,3.481326276315863
101209,DOGE,2022-05-21,0.0839907,-0.29064349980648646
101211,SOL,2022-05-21,49.4756,-0.3943333984718657
101213,GT,2022-05-21,5.74962,0.10571217781699617
101181,BNB,2022-05-21,311.395,-0.3806481850515502
101185,APE,2022-05-21,7.94506,2.7729982413820635
101189,BTC,2022-05-21,29314.4,-0.5088736072470763
101215,XRP,2022-05-21,0.411764,-0.4810680102008914
101248,LEO,2022-05-21,4.9056,0.22045000309170343
101250,FET,2022-05-21,0.169779,-0.7211416007380592
101242,1INCH,2022-05-21,0.946768,3.0881480248935524
101223,RAY,2022-05-21,1.05463,0.03800115622961362
101222,TRX,2022-05-21,0.0736841,-0.5813674374158587
101221,LINK,2022-05-21,6.9909,-0.7612445023197397
101240,YFI,2022-05-21,9116.76,1.244071298143743
101233,ETH,2022-05-21,1965.69,-0.24850604119590955
101241,FLOW,2022-05-21,2.80635,3.324214436055709
101218,LTC,2022-05-21,69.4097,-0.3390145001829796
101261,OKB,2022-05-21,12.1392,-1.8530107717707605
101229,DYDX,2022-05-21,2.15619,0.19385977887704264
101314,RAY,2022-05-22,1.07371,0.05548290400334182
101299,LTC,2022-05-22,70.9148,-0.23577037058578815
101300,APE,2022-05-22,7.95714,2.7794681357401796
101309,XMR,2022-05-22,182.281,1.8583041909483642
101290,SOL,2022-05-22,51.638,-0.36072073521790304
101267,1INCH,2022-05-22,0.988713,3.3490711315374564
101271,SUN,2022-05-22,0.00911904,-0.05483582784036373
101276,XRP,2022-05-22,0.418198,-0.45456181245858895
101277,OKB,2022-05-22,12.4248,-1.8333189187710515
101268,BNB,2022-05-22,316.42,-0.3461208576143039
101345,EGLD,2022-05-22,90.9816,3.5319438927264075
101333,BTC,2022-05-22,29981.7,-0.47635030005241796
101354,LINK,2022-05-22,7.19136,-0.7160806455390059
101358,GT,2022-05-22,5.75549,0.10873633071447034
101359,FLOW,2022-05-22,2.8463,3.3976895701081644
101360,DOGE,2022-05-22,0.0852975,-0.270109382905406
101342,LEO,2022-05-22,4.9052,0.22010206668982218
101328,ETH,2022-05-22,2014.31,-0.18425576463154886
101319,FET,2022-05-22,0.170595,-0.7200493536577393
101323,DYDX,2022-05-22,2.13743,0.16754739789181303
101318,TRX,2022-05-22,0.0774869,-0.48716259975460047
101346,YFI,2022-05-22,9314.69,1.3657334805925327
101368,YFI,2022-05-23,9065.18,1.2123664763849973
101365,SOL,2022-05-23,50.1997,-0.38307788170244544
101407,XMR,2022-05-23,187.375,2.179207960547863
101405,FET,2022-05-23,0.169896,-0.72098499178169
101374,LTC,2022-05-23,70.3155,-0.2768800688567315
101399,LINK,2022-05-23,7.23131,-0.7070798669378372
101392,APE,2022-05-23,7.95295,2.7772240250315288
101394,XAU,2022-05-23,1847.800048828125,-0.7021725213212975
101395,TRX,2022-05-23,0.0801337,-0.4215947643907057
101402,DYDX,2022-05-23,2.10547,0.12272097484874539
101452,GT,2022-05-23,5.7621,0.11214172264842356
101379,RAY,2022-05-23,1.04065,0.02519220267213362
101436,FLOW,2022-05-23,2.80663,3.324729405706139
101445,OKB,2022-05-23,12.7137,-1.8133995338564293
101459,ETH,2022-05-23,1991.81,-0.2139890271304818
101463,1INCH,2022-05-23,0.97383,3.256489927670935
101440,BNB,2022-05-23,324.31,-0.2919078002053743
101438,DOGE,2022-05-23,0.0843986,-0.2842340520838427
101418,BTC,2022-05-23,29311.1,-0.5090344448219938
101427,SUN,2022-05-23,0.00895924,-0.08166545821599192
101435,EGLD,2022-05-23,90.8808,3.524539661505709
101433,LEO,2022-05-23,4.87115,0.19048398047967938
101444,XRP,2022-05-23,0.413104,-0.47554760221601644
101471,APE,2022-05-24,7.43033,2.497315400078011
101468,RAY,2022-05-24,0.9967,-0.015076288662004519
101464,ETH,2022-05-24,1980.99,-0.2282874226966352
101507,LTC,2022-05-24,70.4083,-0.2705143421763654
101498,1INCH,2022-05-24,0.992708,3.3739224323132926
101501,YFI,2022-05-24,9049.57,1.2027714343599092
101505,XMR,2022-05-24,191.351,2.4296817312442918
101499,LEO,2022-05-24,4.8824,0.2002696917825897
101475,FLOW,2022-05-24,2.75641,3.23236592054683
101504,DOGE,2022-05-24,0.0831917,-0.3031984121143863
101482,OKB,2022-05-24,12.7374,-1.811765441012966
101528,TRX,2022-05-24,0.0812542,-0.3938371856067992
101548,DYDX,2022-05-24,2.04733,0.04117503505763371
101532,EGLD,2022-05-24,90.9916,3.532678439474493
101527,SUN,2022-05-24,0.00917713,-0.04508280388216442
101516,LINK,2022-05-24,7.21061,-0.7117435995296818
101538,FET,2022-05-24,0.163188,-0.7299639052802036
101551,SOL,2022-05-24,49.6454,-0.39169400232844964
101560,BNB,2022-05-24,328.173,-0.26536470251580585
101557,GT,2022-05-24,5.61249,0.035064462854365284
101556,BTC,2022-05-24,29548.3,-0.49747363489156826
101550,XRP,2022-05-24,0.409068,-0.4921747414898638
101540,XAU,2022-05-24,1865.0999755859373,-0.6430603782602421
101569,FLOW,2022-05-25,2.69676,3.122658993231961
101591,XRP,2022-05-25,0.40761,-0.4981812749540039
101594,GT,2022-05-25,5.60936,0.033451924767636844
101596,DOGE,2022-05-25,0.0835996,-0.29678896439174257
101602,OKB,2022-05-25,12.7789,-1.8089040548102773
101606,APE,2022-05-25,7.45904,2.5126921109241622
101588,RAY,2022-05-25,0.9969,-0.014893041829994808
101575,LTC,2022-05-25,68.6176,-0.3933495444019257
101586,FET,2022-05-25,0.161406,-0.7323491801541379
101612,EGLD,2022-05-25,88.1641,3.3249853464534302
101589,BNB,2022-05-25,328.705,-0.2617092720289174
101570,XAU,2022-05-25,1846.199951171875,-0.7076398971600534
101584,SOL,2022-05-25,48.6715,-0.4068324469931899
101611,1INCH,2022-05-25,0.974926,3.2633077063068088
101641,LINK,2022-05-25,7.05153,-0.747584497148554
101643,TRX,2022-05-25,0.0850478,-0.2998602548842394
101653,ETH,2022-05-25,1965.53,-0.2487174777292354
101637,YFI,2022-05-25,8744.49,1.0152470640195024
101621,SUN,2022-05-25,0.00945958,0.002339155439463797
101622,LEO,2022-05-25,4.8866,0.203923024002343
101632,DYDX,2022-05-25,2.12944,0.15634079213104626
101630,XMR,2022-05-25,200.859,3.0286517040263967
101577,BTC,2022-05-25,29789.2,-0.48573249192259893
101685,RAY,2022-05-26,0.903096,-0.10083947097919822
101681,TRX,2022-05-26,0.0816301,-0.38452520536148865
101675,BTC,2022-05-26,29546.4,-0.4975662383437933
101673,SUN,2022-05-26,0.00902597,-0.0704618209508752
101700,OKB,2022-05-26,12.2038,-1.8485566621636833
101711,APE,2022-05-26,6.57142,2.037294128295789
101699,EGLD,2022-05-26,74.8875,2.349757010890762
101693,DOGE,2022-05-26,0.0791208,-0.3671656117567252
101691,XRP,2022-05-26,0.397163,-0.5412198586987713
101702,LEO,2022-05-26,4.8805,0.19861699387365364
101712,GT,2022-05-26,5.48811,-0.02901460654731238
101742,XAU,2022-05-26,1847.4000244140625,-0.7035393652809865
101745,LTC,2022-05-26,64.3356,-0.6870784414421048
101730,DYDX,2022-05-26,1.76723,-0.3516873270939046
101737,BNB,2022-05-26,311.788,-0.37794783884601013
101724,YFI,2022-05-26,7897.16,0.4944163811804542
101726,LINK,2022-05-26,6.68264,-0.8306958167526887
101714,XMR,2022-05-26,190.709,2.3892380288330477
101758,1INCH,2022-05-26,0.921078,2.928340786612901
101757,FLOW,2022-05-26,2.50724,2.7740981069836126
101753,FET,2022-05-26,0.146154,-0.7527645630818856
101751,ETH,2022-05-26,1831.72,-0.42554449350622264
101763,SOL,2022-05-26,44.3256,-0.47438575500067987
101772,RAY,2022-05-27,0.8922,-0.11082275838708831
101792,SUN,2022-05-27,0.00885114,-0.09981491405832862
101797,LEO,2022-05-27,4.85914,0.18003719001319418
101801,1INCH,2022-05-27,0.8991,2.7916244190406103
101811,APE,2022-05-27,6.0926,1.7808442262632551
101789,YFI,2022-05-27,7398.65,0.18799585588087311
101786,BTC,2022-05-27,28690.6,-0.5392767827723692
101769,DYDX,2022-05-27,1.67715,-0.47803163834920853
101770,ETH,2022-05-27,1733.34,-0.5555515319348904
101771,TRX,2022-05-27,0.0790908,-0.4474299976916751
101776,FET,2022-05-27,0.142543,-0.7575980241199197
101791,BNB,2022-05-27,301.598,-0.44796444911178873
101842,FLOW,2022-05-27,2.36763,2.517330560924453
101833,DOGE,2022-05-27,0.0811188,-0.33577047434598223
101828,LINK,2022-05-27,6.32367,-0.9115721495302003
101819,XAU,2022-05-27,1851.300048828125,-0.6902133666028959
101827,GT,2022-05-27,5.27512,-0.13874447462789813
101785,LTC,2022-05-27,61.6383,-0.8721029519480542
101858,XRP,2022-05-27,0.384215,-0.5945618307794882
101856,XMR,2022-05-27,180.901,1.7713691296905496
101848,OKB,2022-05-27,11.2087,-1.9171678768696034
101843,SOL,2022-05-27,41.5584,-0.5173995182990362
101863,EGLD,2022-05-27,67.7921,1.8285667112544581
101871,BTC,2022-05-28,28983.5,-0.5250012295319744
101892,YFI,2022-05-28,7556.6,0.28508342076636994
101894,XMR,2022-05-28,175.494,1.430747480255038
101898,DYDX,2022-05-28,1.705,-0.4389698147650586
101904,LTC,2022-05-28,62.9263,-0.783751055780901
101905,XRP,2022-05-28,0.38445,-0.5935936995284092
101908,ETH,2022-05-28,1782.36,-0.4907726640372152
101909,SOL,2022-05-28,43.8786,-0.48133398866444305
101912,RAY,2022-05-28,0.911932,-0.0927436259410084
101885,1INCH,2022-05-28,0.918924,2.914941612177069
101899,BNB,2022-05-28,307.839,-0.4050818519902261
101875,FLOW,2022-05-28,2.37722,2.5349682714516883
101959,GT,2022-05-28,5.32696,-0.11203713455889248
101960,SUN,2022-05-28,0.00912331,-0.05411891593983838
101917,TRX,2022-05-28,0.0809751,-0.4007511884971057
101919,FET,2022-05-28,0.158216,-0.7366191166568598
101922,LEO,2022-05-28,5.0503,0.346315996472253
101924,OKB,2022-05-28,11.4929,-1.8975725525610694
101927,DOGE,2022-05-28,0.0816044,-0.328140104612921
101933,EGLD,2022-05-28,69.109,1.9252991725097846
101928,APE,2022-05-28,6.2352,1.8572189725767745
101878,LINK,2022-05-28,6.46243,-0.8803093700884432
101977,LINK,2022-05-29,6.64269,-0.8396965953538575
101976,SOL,2022-05-29,44.5809,-0.47041733429741656
101973,EGLD,2022-05-29,74.9375,2.353429744631187
101970,FET,2022-05-29,0.157725,-0.737276338858376
101999,BNB,2022-05-29,303.366,-0.4358163267418285
101989,FLOW,2022-05-29,2.41731,2.60870089032936
101993,TRX,2022-05-29,0.0802816,-0.41793091262619025
101990,XMR,2022-05-29,185.795,2.0796736150497845
102011,ETH,2022-05-29,1801.54,-0.4654267096047914
102001,LEO,2022-05-29,5.04444,0.34121872818469223
102042,DYDX,2022-05-29,1.71711,-0.42198458375593656
102047,LTC,2022-05-29,63.0306,-0.7765964728847564
102048,XRP,2022-05-29,0.387573,-0.5807278531576896
102024,GT,2022-05-29,5.34511,-0.10268647440741742
102021,SUN,2022-05-29,0.00919487,-0.042104345541340536
