,ticker,date,close,closeNormalized
100721,LEO,2022-05-16,4.9354,0.24637126503185788
100707,OKB,2022-05-16,12.47,-1.8302024210274
100679,SOL,2022-05-16,54.8686,-0.31050381424664336
100677,DYDX,2022-05-16,1.91551,-0.14371292131086252
100708,RAY,2022-05-16,1.24538,0.2127728222588933
100695,XRP,2022-05-16,0.428043,-0.4140032925995638
100720,FLOW,2022-05-16,2.88624,3.4711463123873916
100715,LTC,2022-05-16,68.3111,-0.41437427745723043
100753,XMR,2022-05-16,166.184,0.844250798870794
100675,EGLD,2022-05-16,94.2673,3.77329391774473
100757,GT,2022-05-16,5.42803,-0.05996709480629928
100693,DOGE,2022-05-16,0.0882851,-0.2231643816399726
100749,YFI,2022-05-16,9907.03,1.7298287524144698
100744,XAU,2022-05-16,1813.5,-0.81937240440252
100741,FET,2022-05-16,0.183062,-0.7033617993068193
100745,BTC,2022-05-16,30135.2,-0.4688689158858062
100738,TRX,2022-05-16,0.069929,-0.6743906271449507
100765,BNB,2022-05-16,300.309,-0.4568213098215618
100729,1INCH,2022-05-16,0.92979,2.9825346620469624
100728,ETH,2022-05-16,2047.71,-0.14011838829979942
100735,LINK,2022-05-16,7.57015,-0.6307388451300759
100772,APE,2022-05-16,8.32416,2.9760393797232636
100730,SUN,2022-05-16,0.00867783,-0.12891280667660243
100782,LEO,2022-05-17,4.9732,0.2792512550096385
100803,XRP,2022-05-17,0.437331,-0.3757394497909679
100805,BNB,2022-05-17,305.003,-0.42456831977371473
100808,GT,2022-05-17,5.73633,0.09886533079699036
100807,BTC,2022-05-17,30512.1,-0.45049931528387804
100812,OKB,2022-05-17,12.8513,-1.8039121424952247
100814,DYDX,2022-05-17,2.00259,-0.02157634688688547
100815,LINK,2022-05-17,7.67002,-0.6082380251326107
100796,LTC,2022-05-17,73.005,-0.09239060865365793
100780,DOGE,2022-05-17,0.0902825,-0.19177867219842212
100788,ETH,2022-05-17,2084.22,-0.09187121435153124
100790,XMR,2022-05-17,173.075,1.278359137369056
100871,APE,2022-05-17,8.82691,3.2453058853973302
100844,RAY,2022-05-17,1.27234,0.23747449521380493
100824,FET,2022-05-17,0.189054,-0.695341279079763
100833,SUN,2022-05-17,0.00892838,-0.08684669972657953
100823,FLOW,2022-05-17,2.98641,3.655376704828807
100839,EGLD,2022-05-17,100.519,4.2325105082450944
100862,1INCH,2022-05-17,0.948765,3.100570564980997
100861,YFI,2022-05-17,9984.98,1.7777424952623606
100852,XAU,2022-05-17,1818.199951171875,-0.8033131349072667
100849,TRX,2022-05-17,0.0726954,-0.6058600015779727
100865,SOL,2022-05-17,56.4266,-0.2862860333783147
100951,DOGE,2022-05-18,0.0851891,-0.2718127026728356
100895,APE,2022-05-18,7.95964,2.780807103943432
100894,LTC,2022-05-18,67.5121,-0.46918263540564265
100878,BNB,2022-05-18,293.618,-0.502795906415117
100883,EGLD,2022-05-18,93.6281,3.72634168960713
100885,XAU,2022-05-18,1815.9000244140625,-0.8111717577466016
100886,GT,2022-05-18,5.57934,0.01798598439588636
100891,FLOW,2022-05-18,2.89623,3.489519693843813
100892,ETH,2022-05-18,1958.9,-0.2574788790789208
100921,LINK,2022-05-18,6.98091,-0.7634952602227605
100954,OKB,2022-05-18,12.2541,-1.8450885241878943
100914,RAY,2022-05-18,1.18346,0.156039603068681
100959,XRP,2022-05-18,0.413262,-0.47489668843869537
100935,SOL,2022-05-18,50.8238,-0.3733767796229051
100943,YFI,2022-05-18,9334.35,1.3778179473582741
100934,1INCH,2022-05-18,0.907818,2.8458556180803427
100931,XMR,2022-05-18,158.094,0.33460975135215437
100957,LEO,2022-05-18,4.9196,0.23262777715754807
100926,FET,2022-05-18,0.169779,-0.7211416007380592
100947,DYDX,2022-05-18,2.12723,0.15324109266530186
100962,BTC,2022-05-18,29152.1,-0.5167838916134679
100961,SUN,2022-05-18,0.00858882,-0.14385714584890927
100930,TRX,2022-05-18,0.071477,-0.6360428074595538
100981,LINK,2022-05-19,7.0929,-0.7382637909976063
101000,RAY,2022-05-19,1.15185,0.1270774412695433
100997,TRX,2022-05-19,0.0733566,-0.5894804289836674
