,unique_id,ds,close,y,XAU
173,BNB,2022-05-25,328.705,-0.2617092720289174,-0.7076398971600534
174,FLOW,2022-05-25,2.69676,3.122658993231961,-0.7076398971600534
175,OKB,2022-05-25,12.7789,-1.8089040548102773,-0.7076398971600534
176,GT,2022-05-25,5.60936,0.033451924767636844,-0.7076398971600534
177,LEO,2022-05-25,4.8866,0.203923024002343,-0.7076398971600534
178,ETH,2022-05-25,1965.53,-0.2487174777292354,-0.7076398971600534
179,XMR,2022-05-25,200.859,3.0286517040263967,-0.7076398971600534
180,LINK,2022-05-25,7.05153,-0.747584497148554,-0.7076398971600534
181,DOGE,2022-05-25,0.0835996,-0.29678896439174257,-0.7076398971600534
182,XRP,2022-05-25,0.40761,-0.4981812749540039,-0.7076398971600534
183,DYDX,2022-05-25,2.12944,0.15634079213104626,-0.7076398971600534
184,SOL,2022-05-26,44.3256,-0.47438575500067987,-0.7035393652809865
185,OKB,2022-05-26,12.2038,-1.8485566621636833,-0.7035393652809865
186,LTC,2022-05-26,64.3356,-0.6870784414421048,-0.7035393652809865
187,XRP,2022-05-26,0.397163,-0.5412198586987713,-0.7035393652809865
188,LEO,2022-05-26,4.8805,0.19861699387365364,-0.7035393652809865
189,LINK,2022-05-26,6.68264,-0.8306958167526887,-0.7035393652809865
190,FET,2022-05-26,0.146154,-0.7527645630818856,-0.7035393652809865
191,1INCH,2022-05-26,0.921078,2.928340786612901,-0.7035393652809865
192,BNB,2022-05-26,311.788,-0.37794783884601013,-0.7035393652809865
193,TRX,2022-05-26,0.0816301,-0.38452520536148865,-0.7035393652809865
194,XMR,2022-05-26,190.709,2.3892380288330477,-0.7035393652809865
195,DOGE,2022-05-26,0.0791208,-0.3671656117567252,-0.7035393652809865
196,RAY,2022-05-26,0.903096,-0.10083947097919822,-0.7035393652809865
197,BTC,2022-05-26,29546.4,-0.4975662383437933,-0.7035393652809865
198,FLOW,2022-05-26,2.50724,2.7740981069836126,-0.7035393652809865
200,ETH,2022-05-26,1831.72,-0.42554449350622264,-0.7035393652809865
201,EGLD,2022-05-26,74.8875,2.349757010890762,-0.7035393652809865
202,GT,2022-05-26,5.48811,-0.02901460654731238,-0.7035393652809865
203,DYDX,2022-05-26,1.76723,-0.3516873270939046,-0.7035393652809865
204,APE,2022-05-26,6.57142,2.037294128295789,-0.7035393652809865
205,SUN,2022-05-26,0.00902597,-0.0704618209508752,-0.7035393652809865
206,YFI,2022-05-26,7897.16,0.4944163811804542,-0.7035393652809865
207,FLOW,2022-05-27,2.36763,2.517330560924453,-0.6902133666028959
208,XRP,2022-05-27,0.384215,-0.5945618307794882,-0.6902133666028959
209,OKB,2022-05-27,11.2087,-1.9171678768696034,-0.6902133666028959
210,SUN,2022-05-27,0.00885114,-0.09981491405832862,-0.6902133666028959
211,DOGE,2022-05-27,0.0811188,-0.33577047434598223,-0.6902133666028959
212,LINK,2022-05-27,6.32367,-0.9115721495302003,-0.6902133666028959
213,LEO,2022-05-27,4.85914,0.18003719001319418,-0.6902133666028959
214,ETH,2022-05-27,1733.34,-0.5555515319348904,-0.6902133666028959
215,GT,2022-05-27,5.27512,-0.13874447462789813,-0.6902133666028959
217,BNB,2022-05-27,301.598,-0.44796444911178873,-0.6902133666028959
218,RAY,2022-05-27,0.8922,-0.11082275838708831,-0.6902133666028959
219,DYDX,2022-05-27,1.67715,-0.47803163834920853,-0.6902133666028959
220,EGLD,2022-05-27,67.7921,1.8285667112544581,-0.6902133666028959
221,LTC,2022-05-27,61.6383,-0.8721029519480542,-0.6902133666028959
222,APE,2022-05-27,6.0926,1.7808442262632551,-0.6902133666028959
223,BTC,2022-05-27,28690.6,-0.5392767827723692,-0.6902133666028959
