Model,MAE,RMSE,R²,Correlation,Dir_Accuracy_%
ARIMA_TimeOnly,45.659964427015304,60.99745850525382,-0.35752233341157225,-0.3695932333834036,46.15384615384615
LSTM_TimeOnly,679.2136779785156,681.5043372398609,-168.4574827950654,-0.10788634417888539,58.97435897435898
Ensemble_Avg_TimeOnly,347.72633301538326,352.4082225962217,-44.312243843573455,-0.24004648533939835,51.28205128205128
Ensemble_Weighted_TimeOnly,61.41922592788931,82.44652360328855,-1.4800943268830062,-0.35408193203084803,46.15384615384615
