Model,MAE,RMSE,R²,Correlation,Dir_Accuracy_%
ARIMA_Time+Crypto,66.25642352821286,72.74489132512203,-0.9307609274570368,-0.30434930645947494,53.84615384615385
LSTM_Time+Crypto,413.4205017089844,421.8040625432884,-63.91499368496797,-0.4607974496251557,51.28205128205128
Ensemble_Avg_Time+Crypto,188.6192036642543,201.99274300415289,-13.88658344996918,-0.43557145105807704,48.717948717948715
Ensemble_Weighted_Time+Crypto,47.643919946466234,70.31163265004538,-0.803756327380041,-0.36065284782032236,48.717948717948715
