ds,1INCH,APE,BNB,BTC,DOGE,DYDX,EGLD,ETH,FET,FLOW,GT,LEO,LINK,LTC,OKB,RAY,SOL,SUN,TRX,XMR,XRP,YFI,y,unique_id,day,week,month,months_since_start,is_holiday,days_to_holiday
2022-05-26,2.928340786612901,2.037294128295789,-0.3779478388460101,-0.4975662383437933,-0.3671656117567252,-0.3516873270939046,2.349757010890762,-0.4255444935062226,-0.7527645630818856,2.7740981069836126,-0.0290146065473123,0.1986169938736536,-0.8306958167526887,-0.6870784414421048,-1.8485566621636835,-0.1008394709791982,-0.4743857550006798,-0.0704618209508752,-0.3845252053614886,2.389238028833048,-0.5412198586987713,0.4944163811804542,1847.4000244140625,XAU,26,21,5,0,0,4
2022-05-27,2.7916244190406103,1.7808442262632551,-0.4479644491117887,-0.5392767827723692,-0.3357704743459822,-0.4780316383492085,1.828566711254458,-0.5555515319348904,-0.7575980241199197,2.517330560924453,-0.1387444746278981,0.1800371900131941,-0.9115721495302004,-0.8721029519480542,-1.9171678768696037,-0.1108227583870883,-0.5173995182990362,-0.0998149140583286,-0.4474299976916751,1.7713691296905496,-0.5945618307794882,0.1879958558808731,1851.300048828125,XAU,27,21,5,0,0,3
2022-05-28,2.899124179123814,1.8694825823503636,-0.4183379408376502,-0.5028239211905247,-0.3168265415820224,-0.361954204962342,2.071573139189712,-0.48566845397489833,-0.7490574818454315,2.6645659015144254,-0.09169494083542196,0.2830829046353557,-0.8439643612775783,-0.7587974757900574,-1.9015578085252962,-0.0819659635163561,-0.5018744129801883,-0.05016582678342942,-0.4309333750663534,2.017716634798292,-0.5574339973006157,0.292333486153039,1849.1500244140625,XAU,28,21,5,0,0,2
2022-05-29,3.0066239392070178,1.9581209384374723,-0.3887114325635117,-0.4663710596086802,-0.2978826088180626,-0.24587677157547544,2.314579567124966,-0.41578537601490634,-0.7405169395709432,2.811801242104398,-0.0446454070429458,0.3861286192575173,-0.7763565730249563,-0.6454919996320605,-1.8859477401809888,-0.0531091686456239,-0.4863493076613405,-0.0005167395085302479,-0.4144367524410317,2.264064139906035,-0.5203061638217432,0.39667111642520486,1847.0,XAU,29,21,5,0,0,1
2022-05-30,3.1141236992902215,2.0467592945245805,-0.3590849242893733,-0.4299181980268356,-0.2789386760541029,-0.1297993381886089,2.55758599506022,-0.34590229805491435,-0.731976397296455,2.95903658269437,0.002404126749530361,0.4891743338796789,-0.7087487847723343,-0.5321865234740637,-1.870337671836681,-0.0242523737748917,-0.47082420234249267,0.04913234776636893,-0.39794012981571,2.510411645013778,-0.4831783303428706,0.5010087466973707,1844.8499755859375,XAU,30,22,5,0,1,21
2022-05-31,3.221623459373425,2.135397650611689,-0.3294584160152348,-0.3934653364449911,-0.2599947432901431,-0.0137219048017424,2.800592422995474,-0.2760192200949223,-0.7234358550219668,3.1062719232843423,0.0494536605420065,0.5922200485018405,-0.6411409965197122,-0.4188810473160669,-1.8547276034923736,0.0046044210958405,-0.4552990970236448,0.0987814350412681,-0.3814435071903883,2.7567591501215207,-0.4460504968639981,0.6053463769695366,1842.699951171875,XAU,31,22,5,0,0,20
2022-06-01,3.07807687196337,1.767095700752259,-0.4731539381436184,-0.4967035640783275,-0.3510280711557076,-0.3082775087840508,2.37581138404534,-0.4707654820712664,-0.744988995325048,2.701064375488668,-0.0729189182888377,0.2400214256975248,-0.7988810496370177,-0.8237083380148812,-1.9025506750630965,-0.0961813365095109,-0.5364364350059951,0.0865301326100441,-0.3262058015479475,2.994696632998887,-0.5507734602785661,0.2228047751557428,1843.300048828125,XAU,1,22,6,1,0,19
2022-06-02,2.916484321211464,1.9414882754166705,-0.416865805533485,-0.4588823646432085,-0.3135063250980935,-0.2454980752606559,2.578362649829808,-0.4326011878059693,-0.7336221298764227,2.7933910771015165,-0.0473655990870111,0.2414131713050505,-0.7403545851257378,-0.7071977047540817,-1.8889125499813653,-0.0760425096716416,-0.5296032280292832,0.0833418054458815,-0.3227401297301264,3.026131847178343,-0.52154825561834,0.237790497421703,1866.5,XAU,2,22,6,1,0,18
2022-06-03,2.649402819631871,1.86817173247938,-0.4669149703201322,-0.4858787078997965,-0.3393719585774848,-0.401114209072556,2.549913654276471,-0.4844692123874411,-0.7362898362870575,2.628159386406331,-0.0942786080893968,0.1814811260810016,-0.7808254201727455,-0.7961601070360549,-1.8978414539150568,-0.1108044337038873,-0.5612666552621365,-0.0192689386114959,-0.3791099383180599,2.7180793475039127,-0.5601911115124645,0.2605088032030765,1845.4000244140625,XAU,3,22,6,1,0,17
2022-06-04,2.6370258972846905,1.8698891823614183,-0.47079256669500824,-0.4586516683236299,-0.33245549562271576,-0.3784391828148509,2.373076421653303,-0.4472740022332205,-0.7401225170141611,2.6710796545332602,-0.07497451795850077,0.2509524276566283,-0.706528630267561,-0.7572935042656285,-1.893955024944176,-0.1001150351699864,-0.5391571788515149,-0.005218360801514199,-0.3796739254163614,2.5944173726857307,-0.5453615379232445,0.24730768089523109,1843.3333333333333,XAU,4,22,6,1,0,16
2022-06-05,2.62464897493751,1.8716066322434566,-0.47467016306988435,-0.43142462874746335,-0.32553903266794676,-0.3557641565571458,2.196239189030136,-0.4100787920789999,-0.7439551977412646,2.7139999226601894,-0.055670427827604736,0.32042372923225493,-0.6322318403623766,-0.7184269014952019,-1.8900685959732948,-0.08942563663608549,-0.5170477024408934,0.0088322170084675,-0.380237912514663,2.470755397867549,-0.5305319643340245,0.23410655858738563,1841.2666422526042,XAU,5,22,6,1,0,15
2022-06-06,2.6122720525903294,1.8733240821254948,-0.4785477594447604,-0.4041975891712968,-0.3186225697131777,-0.3330891302994407,2.019401956406968,-0.3728835819247793,-0.7477878784683683,2.7569201907871186,-0.0363663376967087,0.3898950308078816,-0.557935050457192,-0.6795602987247755,-1.886182167002414,-0.0787362381021846,-0.4949382260302718,0.0228827948184492,-0.3808018996129645,2.347093423049367,-0.5157023907448045,0.2209054362795402,1839.199951171875,XAU,6,23,6,1,0,14
2022-06-07,2.5626565394518908,1.810847825761736,-0.5148547043558864,-0.408033321639781,-0.3278352669423662,-0.4227139248066996,1.828735657006517,-0.4149858816232682,-0.7385506271187495,2.6835002320543517,-0.0254701138838333,0.561253708734407,-0.3552586946614601,-0.6519709100303435,-1.8986964223226075,-0.0869456961762205,-0.5359141516701955,0.1420312021549216,-0.3651258658294248,2.448076686235076,-0.4942304755081119,0.4290397847814585,1847.5,XAU,7,23,6,1,0,13
2022-06-08,2.3522073888768538,1.6537440085377202,-0.530321572825785,-0.4557435949993661,-0.3536961864371614,-0.493782599887808,1.7025845984903816,-0.4563877978051156,-0.7472123070902583,2.5923689957014298,0.0120561718149784,0.6173584535377623,-0.3346774399626676,-0.8363437567058672,-1.9054534307048605,-0.1161185918321695,-0.5536780027461429,0.0718477097292639,-0.3925267207092816,2.110163882911221,-0.5182524896572207,0.2514116461261195,1851.9000244140625,XAU,8,23,6,1,0,12
2022-06-09,2.2020607438640054,1.576892589543843,-0.531386594866138,-0.4699021754580028,-0.362413915283748,-0.4549872663029756,1.4213046122461532,-0.4767649937043844,-0.739091396506555,2.5547762112200223,-0.0090562277997567,0.6648082803443204,-0.2495158804268522,-0.9810885828722572,-1.9104936073655,-0.1153544525426889,-0.5427675660378759,0.0430134123531038,-0.3963738889244896,1.9883288043078784,-0.5276248241091538,0.2573125047706323,1848.800048828125,XAU,9,23,6,1,0,11
2022-06-10,1.957566244316216,1.334839273632679,-0.5555935151768677,-0.5162721356932762,-0.4197721085222038,-0.5667026791747001,1.058350373082342,-0.631060803898847,-0.7525503969877052,2.387576600789264,-0.0719709725765121,0.7088657272325363,-0.4641962783720277,-1.1884274348558272,-1.9318333430216976,-0.1825043378984942,-0.5757957693684438,0.0523567723681459,-0.4393194833732004,1.536518471452046,-0.5954146102219277,0.0016762441803877,1871.5,XAU,10,23,6,1,0,10
